tradingDay,logR,buyP,sellP,ideal
20160420,-0.0314648676305781,1.3792547857706372,-1.5662685552739941,0.0
20160421,-0.007947497862839756,1.1391712734128767,-1.3256708205942935,0.0
20160422,0.009750310850500987,2.0769256315309392,-2.2597564082906154,0.0
20160425,-0.0008974025452400928,1.9702871462536664,-2.153484192455008,0.0
20160426,0.008110024666643203,1.942872036761799,-2.1215944354034364,0.0
20160427,-0.0026374750815846147,2.2077544771672137,-2.392410571986132,0.0
20160428,-0.0012998444318572545,2.1167843607717187,-2.301606830286664,0.0
20160429,0.009314485181791279,1.27546134702324,-1.4727281212772576,0.0
20160503,0.01652372816518528,1.6037283218284804,-1.7976269747652018,0.0
20160504,-0.0038012154741210273,1.0795066408139018,-1.2718818889058685,0.0
20160505,-0.006178044879040995,0.9049147064441174,-1.0972696908797817,0.0
20160506,-0.0284251950170761,-0.2265706166492398,0.033388194790212065,0.0026663645039749434
20160509,-0.021226700807700755,-1.228033639394547,1.034118703043985,0.02735612533444824
20160510,0.0016586237228695124,-1.0812760835729431,0.8869552388160565,0.048812349035970336
20160511,0.003347391229474726,-0.6155398377728603,0.41920290761032797,0.059998182305022886
20160512,0.012403754390385428,-0.17034246301368086,-0.02740163919478353,0.06137278726482229
20160513,-0.008543391057294144,-1.1350971742296865,0.9449242208989173,0.08406284965790617
20160516,0.009559165248966757,-1.1397590460844176,0.9516885151768522,0.10688070230087256
20160517,-0.00316700968520378,-1.2334026204993018,1.0455945240475155,0.13176186279443575
20160518,-0.016774915445068702,-2.579181625982588,2.3997319148144403,0.18635046203203492
20160519,-0.0018607300849845406,-3.1511511483653485,2.965755540090841,0.2534510399967785
20160520,0.005825995880063602,-2.7891466662847617,2.6036763484424115,0.3125866228409351
20160523,-0.005160291431447408,-2.8954269192853785,2.7109725220616148,0.37407256229852826
20160524,0.006591230039294778,-3.1491507450813274,2.967243103711397,0.44117098699387824
20160525,-0.00945657277175481,-2.868328781528576,2.6805406602670176,0.5020207627323682
20160526,0.0011803031680851315,-2.916077518109076,2.7288484741088963,0.5639277196027657
20160527,-0.0036305825963649572,-3.6912846612020576,3.4958506119553303,0.6427907735582503
20160530,-0.0028981957148877893,-3.819104057078513,3.6240189959805886,0.7244700420808025
20160531,0.029529675603775826,-2.367488224888485,2.1691815035622697,0.7741751023724346
20160601,-0.0013469066716780007,-2.7991526082776863,2.6019617358802165,0.833390169285774
20160602,0.002425057170497557,-2.3546972721663115,2.165559459212412,0.8829238555179861
20160603,0.004782545376389018,-1.795724794657855,1.6057771823140663,0.9201504296523336
20160606,-0.004925108460022508,-2.2214077134141443,2.0330985833439126,0.9667616897866018
20160607,0.004704914511114205,-2.0099672761065994,1.8213394341368785,1.0
20160608,-0.00026403485413450457,-1.75867536638324,1.5666126200901256,1.0
20160613,-0.02449455720463432,-2.6556270555519155,2.4648288191331624,1.0
20160614,0.001242228115069206,-3.0500782318137656,2.8529149265990013,1.0
20160615,0.03551964186138611,-1.2128750542607698,1.0083393471109428,1.0
20160616,0.002112766536129728,-1.946300596418052,1.7392240428972878,1.0
20160617,0.003057321625688425,-1.6370312545319008,1.4293787908036435,1.0
20160620,-0.00022202464564767882,-1.2481339372081737,1.0386603073649097,1.0
20160621,-0.007897100174671845,-1.1321289905975365,0.9301824981328916,1.0
20160622,0.01389896038803514,-0.173235998097779,-0.024635483014151482,1.0
20160623,-0.005617750050731493,-0.5115063691880359,0.313612888346588,1.0
20160624,-0.013086252720394705,-0.8421653415796431,0.6427127346446849,1.0
20160627,0.018119839653914168,-0.609364459858271,0.4096919835857997,1.0
20160628,0.001458935236244079,-0.44757508895268144,0.24846372784547666,1.0
20160629,0.0043664531532015115,-0.30350232007659056,0.10468423533364166,1.0
20160630,0.002911756718936925,0.010561076561083571,-0.20967804198137294,0.9973782527306128
20160701,-0.0013228746129105365,-0.036154564347607686,-0.1628335967965994,0.9957857952125296
